1000, 500, 350, 100, 550, 100, 450, 500
hp, 140, 223, 220, 273, 220, 278, 140, 228, 140, 223
hp, 220, 275, 300, 225, 300, 228, 220, 278, 220, 275
hp, 300, 225, 380, 275, 380, 278, 300, 228, 300, 225
hp, 380, 275, 460, 225, 460, 228, 380, 278, 380, 275
hp, 460, 225, 540, 275, 540, 278, 460, 228, 460, 225
hp, 540, 275, 620, 225, 620, 228, 540, 278, 540, 275
hp, 620, 225, 700, 275, 700, 278, 620, 228, 620, 225
hp, 700, 275, 780, 225, 780, 228, 700, 278, 700, 275
hp, 780, 223, 860, 273, 860, 278, 780, 228, 780, 223
gp, 220, 275, 300, 225, 300, 223, 220, 273, 220, 275
gp, 300, 225, 380, 275, 380, 273, 300, 223, 300, 225
gp, 380, 275, 460, 225, 460, 223, 380, 273, 380, 275
gp, 460, 225, 540, 275, 540, 273, 460, 223, 460, 225
gp, 540, 275, 620, 225, 620, 223, 540, 273, 540, 275
gp, 620, 225, 700, 275, 700, 273, 620, 223, 620, 225
gp, 700, 275, 780, 225, 780, 223, 700, 273, 700, 275
