2000, 1000, 950, 0, 1050, 0, 1000, 1000
gp, 700, 0, 0, 0, 0, 1000, 300, 1000, 700, 0
gp, 1300, 0, 2000, 0, 2000, 1000, 1700, 1000, 1300, 0
ha, 685, 100, 2, 5, 0, 360
ga, 775, 100, 2, 5, 0, 360
ia, 865, 100, 2, 5, 0, 360
ia, 955, 100, 2, 5, 0, 360
ia, 1045, 100, 2, 5, 0, 360
ha, 1135, 100, 2, 5, 0, 360
ia, 1225, 100, 2, 5, 0, 360
ga, 1315, 100, 2, 5, 0, 360
ha, 640, 200, 2, 5, 0, 360
ga, 730, 200, 2, 5, 0, 360
ha, 820, 200, 2, 5, 0, 360
ga, 910, 200, 2, 5, 0, 360
ga, 1000, 200, 2, 5, 0, 360
ha, 1090, 200, 2, 5, 0, 360
ga, 1180, 200, 2, 5, 0, 360
ga, 1270, 200, 2, 5, 0, 360
ia, 1360, 200, 2, 5, 0, 360
ia, 595, 300, 2, 5, 0, 360
ia, 685, 300, 2, 5, 0, 360
ga, 775, 300, 2, 5, 0, 360
ha, 865, 300, 2, 5, 0, 360
ga, 955, 300, 2, 5, 0, 360
ha, 1045, 300, 2, 5, 0, 360
ia, 1135, 300, 2, 5, 0, 360
ga, 1225, 300, 2, 5, 0, 360
ha, 1315, 300, 2, 5, 0, 360
ha, 1405, 300, 2, 5, 0, 360
ga, 550, 400, 2, 5, 0, 360
ia, 640, 400, 2, 5, 0, 360
ha, 730, 400, 2, 5, 0, 360
ga, 820, 400, 2, 5, 0, 360
ga, 910, 400, 2, 5, 0, 360
ia, 1000, 400, 2, 5, 0, 360
ha, 1090, 400, 2, 5, 0, 360
ga, 1180, 400, 2, 5, 0, 360
ha, 1270, 400, 2, 5, 0, 360
ga, 1360, 400, 2, 5, 0, 360
ia, 1450, 400, 2, 5, 0, 360
ga, 505, 500, 2, 5, 0, 360
ga, 595, 500, 2, 5, 0, 360
ha, 685, 500, 2, 5, 0, 360
ia, 775, 500, 2, 5, 0, 360
ga, 865, 500, 2, 5, 0, 360
ia, 955, 500, 2, 5, 0, 360
ia, 1045, 500, 2, 5, 0, 360
ha, 1135, 500, 2, 5, 0, 360
ha, 1225, 500, 2, 5, 0, 360
ha, 1315, 500, 2, 5, 0, 360
ga, 1405, 500, 2, 5, 0, 360
ia, 1495, 500, 2, 5, 0, 360
ha, 460, 600, 2, 5, 0, 360
ia, 550, 600, 2, 5, 0, 360
ia, 640, 600, 2, 5, 0, 360
ga, 730, 600, 2, 5, 0, 360
ia, 820, 600, 2, 5, 0, 360
ga, 910, 600, 2, 5, 0, 360
ha, 1000, 600, 2, 5, 0, 360
ga, 1090, 600, 2, 5, 0, 360
ia, 1180, 600, 2, 5, 0, 360
ia, 1270, 600, 2, 5, 0, 360
ga, 1360, 600, 2, 5, 0, 360
ha, 1450, 600, 2, 5, 0, 360
ga, 1540, 600, 2, 5, 0, 360
ha, 415, 700, 2, 5, 0, 360
ia, 505, 700, 2, 5, 0, 360
ia, 595, 700, 2, 5, 0, 360
ha, 685, 700, 2, 5, 0, 360
ga, 775, 700, 2, 5, 0, 360
ga, 865, 700, 2, 5, 0, 360
ha, 955, 700, 2, 5, 0, 360
ga, 1045, 700, 2, 5, 0, 360
ia, 1135, 700, 2, 5, 0, 360
ga, 1225, 700, 2, 5, 0, 360
ga, 1315, 700, 2, 5, 0, 360
ia, 1405, 700, 2, 5, 0, 360
ga, 1495, 700, 2, 5, 0, 360
ga, 1585, 700, 2, 5, 0, 360
ia, 460, 800, 2, 5, 0, 360
ha, 550, 800, 2, 5, 0, 360
ia, 640, 800, 2, 5, 0, 360
ia, 730, 800, 2, 5, 0, 360
ha, 820, 800, 2, 5, 0, 360
ga, 910, 800, 2, 5, 0, 360
ga, 1000, 800, 2, 5, 0, 360
ha, 1090, 800, 2, 5, 0, 360
ga, 1180, 800, 2, 5, 0, 360
ga, 1270, 800, 2, 5, 0, 360
ia, 1360, 800, 2, 5, 0, 360
ga, 1450, 800, 2, 5, 0, 360
ia, 1540, 800, 2, 5, 0, 360
ga, 415, 900, 2, 5, 0, 360
ha, 505, 900, 2, 5, 0, 360
ha, 595, 900, 2, 5, 0, 360
ia, 685, 900, 2, 5, 0, 360
ia, 775, 900, 2, 5, 0, 360
ga, 865, 900, 2, 5, 0, 360
ha, 955, 900, 2, 5, 0, 360
ha, 1045, 900, 2, 5, 0, 360
ia, 1135, 900, 2, 5, 0, 360
ia, 1225, 900, 2, 5, 0, 360
ia, 1315, 900, 2, 5, 0, 360
ga, 1405, 900, 2, 5, 0, 360
ga, 1495, 900, 2, 5, 0, 360
ga, 1585, 900, 2, 5, 0, 360
